# taue, taui, alpha, speed, gei, gii, tauC, r_tot, r_psd, r_sp, sub, flag, status, success
6.105583629472839391e+00,5.667144416793373551e+00,6.616963791286537555e-01,1.326556166065273423e+01,3.934938853227237798e-01,1.252487856248587050e+00,2.147426452549077780e+01,1.481677931187330044e+00,8.152928359462666696e-01,6.663850952410633743e-01,2.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.055008073631775289e+00,5.000000000000000000e+00,1.000000000000000000e+00,6.649601362987609399e+00,3.033114201636306628e-01,3.325927534278238368e-02,1.346855998863863846e+01,1.487297957724246000e+00,8.787613135366713069e-01,6.085366441875745824e-01,2.500000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.074188093700739088e+00,1.652668730367660999e+01,1.000000000000000000e+00,5.668801384224069650e+00,3.717097942255558896e-01,5.574786187163135454e-01,1.167194512540292628e+01,1.510145481051375249e+00,9.204169913577838757e-01,5.897284896935912624e-01,2.600000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.704213632147121160e+01,5.829611096380705071e+00,1.000000000000000000e+00,1.394992595134586644e+01,1.000000000000000021e-03,6.851163850795818355e-01,1.639314330447679779e+01,1.398555287581102702e+00,9.130223246497656264e-01,4.855329629313371309e-01,2.700000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.470892754080028730e+00,1.574498248742961515e+01,1.000000000000000000e+00,5.679821563428270714e+00,3.786110252399444431e-01,5.770738260288372778e-01,1.429441145998014484e+01,1.422274239104725169e+00,9.026762094343484533e-01,5.195980296703766044e-01,2.800000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.640302144610050306e+00,7.145446267386449613e+00,1.000000000000000000e+00,6.158925327221138168e+00,3.641208389240098708e-01,1.000000000000000021e-03,1.862810440659334787e+01,1.553971342976354197e+00,9.433407729545555398e-01,6.106305700217986576e-01,2.900000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.163368524953812155e+00,1.756085389305165378e+01,1.000000000000000000e+00,1.386947505820293181e+01,3.880322768693018065e-01,4.350891928717812718e-01,1.532740231043366208e+01,1.658552498405769793e+00,9.428539273471621129e-01,7.156985710586077909e-01,3.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.585128081598766059e+00,1.530634348826896129e+01,1.000000000000000000e+00,6.173760014628853376e+00,3.676173645862287342e-01,3.584203256118459469e-01,1.204355462126430609e+01,1.391597583103453717e+00,9.108137137706291409e-01,4.807838693328245760e-01,3.100000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.081235195822763728e+00,7.258424706195095055e+00,6.169702677793573731e-01,6.275502764211488227e+00,2.013553094315668340e-02,8.564126084720028453e-01,2.652961301180652853e+01,1.438901043572980765e+00,8.768267911414707738e-01,5.620742524315101019e-01,3.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.069782511823042626e+00,1.347065990659996082e+01,1.000000000000000000e+00,1.386749651881985734e+01,1.000000000000000021e-03,4.453017073182269359e-01,1.390117512947272616e+01,1.533354791797012062e+00,9.239208285445343893e-01,6.094339632524775618e-01,3.300000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.479293046787118371e+00,9.781035508046132421e+00,1.000000000000000000e+00,5.685638647717970784e+00,2.839849115861887152e-01,4.126856329500309672e-01,1.451298975957506165e+01,1.500879672842421408e+00,8.914171401532459127e-01,6.094625326891754957e-01,3.400000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.085681812215309350e+00,1.729318404748343596e+01,1.000000000000000000e+00,6.257812431007337750e+00,1.000000000000000021e-03,6.026063236214703744e-01,1.560235228600397051e+01,1.472756605094333926e+00,9.068098615321895650e-01,5.659467435621443610e-01,3.500000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
